"age","height_in","weight_lb","sex"
63,59.75,105.43728860203,"male"
63,55,80.43733872603,"female"
65,53.75,70.24985915156,"female"
41,61.75,116.93726554499,"male"
51,57.25,90.99981754864,"female"
35,64.5,138.87472156118,"male"
32,58.75,84.31233095681,"female"
27,66.5,122.31225476833,"male"
19,58.25,76.8748458687,"female"
54,65,120.12475915418,"male"
47,60.75,109.9997794544,"female"
66,59.5,90.87481779926,"male"
73,57,79.43734073099,"female"
20,59.0157480314961,105.160374,"female"
65.3,59.25,74.62485037986,"female"
36,64.25,107.06228534397,"male"
44,62,93.31231291217,"male"
31,56.67,84.56233045557,"female"
12,48,43.24991328548,"male"
8,41.5,30.74993834748,"female"
6.5,34,23.1249536353,"female"
39,63.5,107.99978346432,"male"
29,61.5,94.18731115783,"female"
13,51,51.99989574208,"male"
7,43,35.24992932516,"female"
56,57.6377952755906,78.24984311188,"male"
45,58.5,83.56233246053,"female"
19,58,78.18734323719,"female"
17,54,60.24987920116,"male"
16,49.5,49.999899752,"female"
11,45,39.3749210547,"male"
29,58.25,88.87482180918,"male"
30,63.75,121.49975639736,"male"
24,57.5,82.68733421487,"female"
35,57.5,84.87482982902,"female"
33,60.12,102.74979399036,"female"
27,56.25,85.6248283253,"female"
32,56.25,78.43734273595,"female"
36,58.25,104.49979048168,"female"
24,63.25,105.56228835141,"male"
30,59.75,108.93728158467,"male"
24,64.12,108.87478170998,"male"
52,67.5,124.68725000655,"male"
42,58,86.2498270722,"female"
19,58.25,109.9997794544,"female"
17,57,63.49987268504,"female"
8,48,44.9999097768,"male"
12,50.75,51.49989674456,"female"
5,38.5,29.24994135492,"female"
55,60.75,90.93731767395,"male"
43,56.5,84.9998295784,"female"
20,57.755905511811,93.475888,"male"
18,62,98.43730263675,"male"
13,50,48.524902709316,"male"
9,43.5,33.99993183136,"female"
5,38.5,28.1249436105,"female"
42,65.25,129.18724098423,"male"
44,60,102.99979348912,"female"
60,55.75,97.4998045164,"female"
20,62.5196850393701,112.215158,"female"
37,61.25,119.74975990604,"female"
50,64.75,101.18729712311,"male"
50,59.75,105.87478772486,"female"
31,63.5,115.12476917898,"male"
25,60.75,104.9997894792,"female"
23,57.25,100.6247982509,"female"
52,57.25,93.49981253624,"female"
79.3,60,80.43733872603,"male"
35,64.5,123.31225276337,"male"
27,56.75,81.99983559328,"female"
13,51,54.12489148154,"male"
14,51,56.49988671976,"female"
38,60.5,106.49978647176,"male"
39,56.25,82.31233496673,"female"
12,57.5,65.24986917636,"female"
30,65.75,103.99979148416,"male"
24,62.37,104.24979098292,"female"
0.599999999999909,36,28.49994285864,"male"
51,65.25,126.8747456207,"male"
46,59,83.62483233522,"female"
17,58.25,92.37481479182,"female"
12,54.25,60.81237807337,"female"
22,61,104.06229135885,"female"
29,63.37,95.24980902756,"male"
38,63.75,110.81227782537,"male"
30,58.25,86.81232594441,"female"
6,44.75,38.49992280904,"male"
45,62.75,111.74998318,"male"
47,58.5,86.93732569379,"female"
79,53.75,79.9998396032,"female"
45,62.25,101.99979549408,"male"
54,57,93.18731316279,"female"
31,61.75,104.9997894792,"male"
23,70.5,122.81225376585,"male"
9,46.75,41.49991679416,"female"
41,67,107.06228534397,"male"
23,57.5,94.3748107819,"female"
36,58,77.31234499153,"female"
5,44.5,39.43742092939,"male"
30,64,125.12474912938,"female"
12,52.75,60.49987869992,"male"
34,60,112.99977343952,"female"
44,63,104.12479123354,"male"
43,59,90.24981905236,"female"
73.3,56.25,72.12485539226,"female"
38,65.75,125.81224775097,"male"
43,62.75,94.74981003004,"male"
33,61,88.06232343821,"female"
16,58.5,71.56235652005,"female"
11,43.75,37.74992431276,"male"
6,44,36.37492706958,"male"
35,64,101.31229687249,"male"
29,60,90.6248183005,"female"
12,49,40.24991930036,"female"
9,44,33.24993333508,"male"
7.59999999999991,34,25.31244924945,"male"
58,67,104.93728960451,"male"
53,57.5,82.68733421487,"female"
51,62.75,99.24980100772,"male"
48,59.5,93.18731316279,"female"
29,63.25,120.93725752515,"male"
41,66.75,117.99976341472,"male"
81.75,62.5,115.06226930429,"male"
1,29.25,21.49995689336,"male"
35,59,93.49981253624,"female"
46,60.25,109.31228083281,"female"
5,38,28.87494210678,"male"
29,63.75,91.99981554368,"male"
42,64,123.49975238744,"male"
27,58.75,92.93731366403,"female"
8,46,42.74991428796,"female"
6,39.4,33.24993333508,"male"
22,64.25,117.06226529437,"male"
43,63.75,110.74977795068,"male"
53,57.25,93.749812035,"female"
43,64.25,108.24978296308,"male"
41,59.5,84.87482982902,"female"
50,59.25,109.81227983033,"female"
15,55.75,64.62487042946,"male"
33,67.25,131.74973584652,"male"
3,36,25.81244824697,"female"
62,62,105.68728810079,"male"
49,60,86.62482632034,"female"
17,58.75,84.06233145805,"male"
12,51,48.49990275944,"female"
22,58,81.31233697169,"female"
29,57.25,92.87481378934,"female"
8,48,43.62491253362,"female"
5,44.75,36.99992581648,"male"
33,62,98.24980301268,"male"
34,60.75,105.49978847672,"female"
12,47.5,46.68740639343,"female"
7,45.511811023622,41.667318,"male"
42,65.75,121.68725602143,"male"
40,56.25,72.74985413916,"female"
27,60,90.12481930298,"female"
3,38,29.24994135492,"female"
25,62.992125984252,112.876544,"male"
29,62.75,108.1247832137,"male"
45,59,117.81226379065,"female"
26,63.25,119.24976090852,"male"
45,63.25,122.06225526957,"male"
45,58.75,93.1248132881,"female"
11,49.25,49.31240113041,"female"
85.5999999999999,55.5,90.24981905236,"female"
26,61,109.56228033157,"male"
24,55.75,97.74980401516,"female"
57,63,101.31229687249,"male"
22,59.12,92.4998145412,"female"
24,61.25,113.49977243704,"female"
6,40.75,28.1249436105,"female"
4,37.25,28.68744248271,"female"
21,61.5,97.24980501764,"female"
79,60.25,70.99985764784,"female"
50,65.75,125.12474912938,"male"
40,59,116.12476717402,"female"
64,58.25,80.43733872603,"female"
32,62.75,107.68728409087,"male"
38.7,63.75,125.56224825221,"male"
26,61.25,92.81231391465,"female"
63,62.75,110.6247782013,"male"
62,57.75,102.62479424098,"female"
22,68,136.2497268242,"male"
41,65.5,107.99978346432,"male"
19,55.75,69.49986065528,"male"
17,56.25,70.99985764784,"female"
14,52.5,52.37489499022,"female"
9,50.25,53.81239210809,"male"
7,47,47.43740488971,"male"
74,59.75,77.81234398905,"female"
41,61.75,100.6247982509,"male"
33,58.5,96.74980602012,"female"
53,62,100.43729862683,"female"
18,59,85.99982757344,"female"
37,58.25,90.74981804988,"female"
6,40.25,28.93744198147,"female"
61,60.25,99.74980000524,"female"
44,63.25,118.24976291348,"male"
35,58.75,115.31226880305,"female"
7,45,40.43741892443,"male"
4,39.75,30.31243922465,"male"
23,54.5,86.18732719751,"female"
4,36,27.62494461298,"male"
55,64,100.74979800028,"male"
53,58.75,89.06232143325,"female"
59,62.5,113.49977243704,"male"
57,59,85.24982907716,"female"
35,62.25,86.49982657096,"male"
29,61.5,97.74980401516,"female"
62,58.5,87.12482531786,"male"
18,56.5,68.49986266024,"female"
51,60.75,103.1247932385,"female"
14,51.75,49.62490050386,"female"
19,62,89.56232043077,"male"
42,62,110.6247782013,"male"
25,60.75,90.99981754864,"female"
6,42.5,38.7499223078,"male"
41,66.25,120.372252,"male"
37,57.25,99.18730113303,"female"
16,58.25,98.62480226082,"female"
5,39.75,31.74993634252,"male"
9,44.5,41.99991579168,"male"
82,58.75,78.93734173347,"male"
28,61,99.68730013055,"male"
50,64,106.06228734893,"male"
43,61.75,100.68729812559,"female"
8,48.5,45.87490802246,"male"
31,63.39,106.74978597052,"male"
67,57,90.81231792457,"female"
39,56.5,84.68733020495,"female"
18,58.75,92.87481378934,"female"
11,43.5,38.93742193187,"female"
48,59,84.31233095681,"female"
30,65.25,106.56228634645,"male"
64,56.75,85.81232794937,"female"
72,62,88.24982306228,"male"
68,60.75,110.68727807599,"female"
44,64.5,119.68726003135,"male"
43,61.5,100.530672,"female"
16,60.5,89.87481980422,"female"
13,53,59.81238007833,"female"
34,56.75,86.93732569379,"female"
10,45,45.18740940087,"female"
62,64,95.24980902756,"male"
44,57.5,70.24985915156,"female"
11,47.5,46.06240764653,"male"
31,61,100.18729912807,"male"
29,57,83.87483183398,"female"
8,42,35.24992932516,"female"
62,57.75,79.56234048037,"female"
67,60,90.12481930298,"female"
57,64.5,105.6247882261,"male"
32,65.25,105.18728910327,"male"
24,61.5,102.24979499284,"female"
77,60,90.74981804988,"male"
62,55.25,80.68733822479,"female"
17,62.25,94.9998095288,"male"
67,64.25,106.12478722362,"male"
70,59.5,80.93733772355,"female"
37,67.37,124.68725000655,"male"
58,59,85.31232895185,"female"
35,64.5,104.68729010575,"male"
30,55.75,79.81233997913,"female"
5,37,31.49993684376,"female"
26,58.75,90.99981754864,"female"
5,41.5,33.56243270853,"female"
21,57.5,98.68730213551,"female"
41,63.5,111.18727707351,"male"
46,64,121.8747556455,"male"
49,57.25,83.62483233522,"female"
15,57.25,78.24984311188,"male"
28,67.25,128.87474161078,"male"
12,50,47.37490501502,"female"
