"median_weekly_earn","sex","ethnic_origin","quarter","age"
754,"Both Sexes","All Origins",1,"16 years and over"
740,"Both Sexes","All Origins",2,"16 years and over"
740,"Both Sexes","All Origins",3,"16 years and over"
752,"Both Sexes","All Origins",4,"16 years and over"
755,"Both Sexes","All Origins",1,"16 years and over"
753,"Both Sexes","All Origins",2,"16 years and over"
753,"Both Sexes","All Origins",3,"16 years and over"
764,"Both Sexes","All Origins",4,"16 years and over"
769,"Both Sexes","All Origins",1,"16 years and over"
771,"Both Sexes","All Origins",2,"16 years and over"
758,"Both Sexes","All Origins",3,"16 years and over"
775,"Both Sexes","All Origins",4,"16 years and over"
773,"Both Sexes","All Origins",1,"16 years and over"
776,"Both Sexes","All Origins",2,"16 years and over"
771,"Both Sexes","All Origins",3,"16 years and over"
786,"Both Sexes","All Origins",4,"16 years and over"
796,"Both Sexes","All Origins",1,"16 years and over"
780,"Both Sexes","All Origins",2,"16 years and over"
790,"Both Sexes","All Origins",3,"16 years and over"
799,"Both Sexes","All Origins",4,"16 years and over"
808,"Both Sexes","All Origins",1,"16 years and over"
801,"Both Sexes","All Origins",2,"16 years and over"
803,"Both Sexes","All Origins",3,"16 years and over"
825,"Both Sexes","All Origins",4,"16 years and over"
830,"Both Sexes","All Origins",1,"16 years and over"
824,"Both Sexes","All Origins",2,"16 years and over"
827,"Both Sexes","All Origins",3,"16 years and over"
849,"Both Sexes","All Origins",4,"16 years and over"
865,"Both Sexes","All Origins",1,"16 years and over"
859,"Both Sexes","All Origins",2,"16 years and over"
859,"Both Sexes","All Origins",3,"16 years and over"
857,"Both Sexes","All Origins",4,"16 years and over"
881,"Both Sexes","All Origins",1,"16 years and over"
876,"Both Sexes","All Origins",2,"16 years and over"
887,"Both Sexes","All Origins",3,"16 years and over"
900,"Both Sexes","All Origins",4,"16 years and over"
905,"Both Sexes","All Origins",1,"16 years and over"
908,"Both Sexes","All Origins",2,"16 years and over"
919,"Both Sexes","All Origins",3,"16 years and over"
936,"Both Sexes","All Origins",4,"16 years and over"
957,"Both Sexes","All Origins",1,"16 years and over"
1002,"Both Sexes","All Origins",2,"16 years and over"
994,"Both Sexes","All Origins",3,"16 years and over"
984,"Both Sexes","All Origins",4,"16 years and over"
844,"Men","All Origins",1,"16 years and over"
810,"Men","All Origins",2,"16 years and over"
